,State,Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
0,3,2763.519279,0,0,3,1,1,56274.0,0,2,69.0,32.0,5.0,0.0,1.0,3,8,4,2,384.811147,5,0
1,2,6979.535903,0,1,3,2,1,0.0,0,1,94.0,13.0,42.0,0.0,8.0,2,2,1,2,1131.464935,4,0
2,4,12887.43165,0,2,3,1,1,48767.0,0,2,108.0,18.0,38.0,0.0,2.0,2,2,4,2,566.4722469999999,5,0
3,1,7645.861827,0,0,3,2,2,0.0,0,2,106.0,18.0,65.0,0.0,7.0,3,3,4,3,529.881344,3,0
4,3,2813.692575,0,0,3,1,2,43836.0,1,1,73.0,12.0,44.0,0.0,1.0,2,0,4,2,138.130879,4,0
5,0,8256.2978,1,0,3,1,1,62902.0,1,2,69.0,14.0,94.0,0.0,2.0,2,2,3,4,159.383042,5,0
6,0,5380.898636,1,0,0,1,1,55350.0,0,2,67.0,0.0,13.0,0.0,9.0,3,8,4,2,321.6,4,0
7,2,7216.100311,0,2,2,2,2,0.0,2,1,101.0,0.0,68.0,0.0,4.0,3,8,4,2,363.02968,4,0
8,0,24127.50402,1,0,3,5,2,14072.0,0,3,71.0,13.0,3.0,0.0,2.0,3,8,4,2,511.2,4,0
9,0,7388.178085,0,1,0,1,1,28812.0,2,2,93.0,17.0,7.0,0.0,8.0,1,5,3,0,425.527834,4,0
10,1,4738.992021999999,0,0,0,2,2,0.0,0,1,67.0,23.0,5.0,0.0,3.0,2,2,4,2,482.4,4,1
11,1,8197.197078,0,0,0,2,1,0.0,0,2,110.0,27.0,87.0,0.0,3.0,2,2,3,2,528.0,3,0
12,1,8798.797003,0,2,2,1,2,77026.0,2,2,110.0,9.0,82.0,2.0,3.0,3,7,3,2,472.029737,4,0
13,2,8819.018934,1,0,4,1,2,99845.0,0,2,110.0,23.0,25.0,1.0,8.0,3,8,3,0,528.0,3,0
